Date,Open,High,Low,Close,Adj Close,Volume
2021-12-02,3.672100,3.672900,3.671900,3.672100,3.672100,0
2021-12-03,3.672100,3.672900,3.672100,3.672100,3.672100,0
2021-12-06,3.672670,3.672900,3.672000,3.672670,3.672670,0
2021-12-07,3.672100,3.672900,3.671900,3.672000,3.672000,0
2021-12-08,3.672100,3.672900,3.671800,3.672100,3.672100,0
2021-12-09,3.672100,3.672900,3.672100,3.672100,3.672100,0
2021-12-10,3.672100,3.672900,3.672100,3.672100,3.672100,0
2021-12-13,3.672100,3.672900,3.672000,3.672100,3.672100,0
2021-12-14,3.672100,3.672900,3.671900,3.672100,3.672100,0
2021-12-15,3.672100,3.672900,3.671900,3.672100,3.672100,0
2021-12-16,3.672100,3.672900,3.671900,3.672100,3.672100,0
2021-12-17,3.672100,3.672900,3.672000,3.672100,3.672100,0
2021-12-20,3.672630,3.672900,3.671900,3.672630,3.672630,0
2021-12-21,3.672100,3.672900,3.671900,3.672100,3.672100,0
2021-12-22,3.672100,3.672900,3.671900,3.672100,3.672100,0
2021-12-23,3.672100,3.672900,3.671900,3.672100,3.672100,0
2021-12-24,3.672100,3.672900,3.672100,3.672100,3.672100,0
2021-12-27,3.672620,3.672900,3.672100,3.672620,3.672620,0
2021-12-28,3.672100,3.672900,3.672100,3.672100,3.672100,0
2021-12-29,3.672100,3.672800,3.672100,3.671900,3.671900,0
2021-12-30,3.672100,3.672900,3.672100,3.672100,3.672100,0
2021-12-31,3.672100,3.672900,3.672000,3.672100,3.672100,0
2022-01-03,3.672630,3.672900,3.672100,3.672630,3.672630,0
2022-01-04,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-01-05,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-01-06,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-01-07,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-01-10,3.672600,3.672900,3.671900,3.672600,3.672600,0
2022-01-11,3.672100,3.672900,3.672100,3.672000,3.672000,0
2022-01-12,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-01-13,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-01-14,3.672100,3.672800,3.672100,3.672100,3.672100,0
2022-01-17,3.672590,3.672590,3.672000,3.672590,3.672590,0
2022-01-18,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-01-19,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-01-20,3.672100,3.672900,3.670740,3.672100,3.672100,0
2022-01-21,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-01-24,3.672470,3.672900,3.672000,3.672470,3.672470,0
2022-01-25,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-01-26,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-01-27,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-01-28,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-01-31,3.672650,3.673150,3.672100,3.672650,3.672650,0
2022-02-01,3.672650,3.672900,3.671900,3.672650,3.672650,0
2022-02-02,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-02-03,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-02-04,3.672100,3.672900,3.672100,3.672000,3.672000,0
2022-02-07,3.672650,3.672900,3.671870,3.672650,3.672650,0
2022-02-08,3.672100,3.672670,3.672100,3.672100,3.672100,0
2022-02-09,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-02-10,3.672100,3.672900,3.672000,3.672100,3.672100,0
2022-02-11,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-02-14,3.672680,3.672900,3.672100,3.672680,3.672680,0
2022-02-15,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-02-16,3.672900,3.672900,3.672100,3.672900,3.672900,0
2022-02-17,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-02-18,3.672100,3.672900,3.672000,3.672100,3.672100,0
2022-02-21,3.672660,3.672660,3.672000,3.672660,3.672660,0
2022-02-22,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-02-23,3.672100,3.672900,3.671800,3.672100,3.672100,0
2022-02-24,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-02-25,3.672100,3.672900,3.671900,3.672000,3.672000,0
2022-02-28,3.672660,3.672900,3.672100,3.672660,3.672660,0
2022-03-01,3.672100,3.672660,3.672100,3.672100,3.672100,0
2022-03-02,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-03-03,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-03-04,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-03-07,3.672690,3.672900,3.671900,3.672690,3.672690,0
2022-03-08,3.672100,3.672900,3.672000,3.672100,3.672100,0
2022-03-09,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-03-10,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-03-11,3.672100,3.672900,3.671900,3.672000,3.672000,0
2022-03-14,3.672660,3.672900,3.671900,3.672660,3.672660,0
2022-03-15,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-03-16,3.672100,3.672660,3.672100,3.672100,3.672100,0
2022-03-17,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-03-18,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-03-21,3.672680,3.672900,3.672000,3.672680,3.672680,0
2022-03-22,3.672100,3.672900,3.672100,3.672000,3.672000,0
2022-03-23,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-03-24,3.672660,3.672900,3.672100,3.672660,3.672660,0
2022-03-25,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-03-28,3.672680,3.672900,3.672100,3.672680,3.672680,0
2022-03-29,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-03-30,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-03-31,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-04-01,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-04-04,3.672680,3.672900,3.671900,3.672680,3.672680,0
2022-04-05,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-04-06,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-04-07,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-04-08,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-04-11,3.672640,3.672900,3.671900,3.672640,3.672640,0
2022-04-12,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-04-13,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-04-14,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-04-15,3.672900,3.672900,3.672070,3.672900,3.672900,0
2022-04-18,3.672070,3.672900,3.672070,3.672070,3.672070,0
2022-04-19,3.672900,3.672900,3.671900,3.672900,3.672900,0
2022-04-20,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-04-21,3.672800,3.672900,3.671800,3.672800,3.672800,0
2022-04-22,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-04-25,3.672640,3.672900,3.671900,3.672640,3.672640,0
2022-04-26,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-04-27,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-04-28,3.672100,3.672900,3.672000,3.672100,3.672100,0
2022-04-29,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-05-02,3.672680,3.672900,3.672100,3.672680,3.672680,0
2022-05-03,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-05-04,3.672100,3.672900,3.671700,3.672100,3.672100,0
2022-05-05,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-05-06,3.672100,3.672900,3.671780,3.672100,3.672100,0
2022-05-09,3.672640,3.672900,3.672100,3.672640,3.672640,0
2022-05-10,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-05-11,3.672100,3.672900,3.671800,3.672100,3.672100,0
2022-05-12,3.672630,3.672900,3.672100,3.672630,3.672630,0
2022-05-13,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-05-16,3.672650,3.672900,3.672000,3.672650,3.672650,0
2022-05-17,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-05-18,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-05-19,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-05-20,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-05-23,3.672620,3.672900,3.671900,3.672620,3.672620,0
2022-05-24,3.672100,3.672900,3.671800,3.672100,3.672100,0
2022-05-25,3.672100,3.672900,3.672100,3.672100,3.672100,0
2022-05-26,3.672100,3.672900,3.671800,3.672100,3.672100,0
2022-05-27,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-05-30,3.672640,3.672640,3.672000,3.672640,3.672640,0
2022-05-31,3.672100,3.672900,3.671800,3.672100,3.672100,0
2022-06-01,3.672100,3.672900,3.671900,3.672100,3.672100,0
2022-06-02,3.672100,3.672800,3.671800,3.672100,3.672100,0
2022-06-03,3.672900,3.672900,3.671770,3.672900,3.672900,0
2022-06-06,3.671770,3.672900,3.671320,3.671770,3.671770,0
2022-06-07,3.672100,3.672900,3.671900,3.672100,3.672100,0
