Date,Open,High,Low,Close,Adj Close,Volume
2022-09-22,1.347870,1.354270,1.340980,1.347870,1.347870,0
2022-09-23,1.347110,1.358480,1.346760,1.347110,1.347110,0
2022-09-26,1.358080,1.376340,1.356440,1.358080,1.358080,0
2022-09-27,1.371060,1.375260,1.363940,1.371060,1.371060,0
2022-09-28,1.372250,1.383120,1.364830,1.372250,1.372250,0
2022-09-29,1.362790,1.375490,1.362830,1.362790,1.362790,0
2022-09-30,1.367450,1.375370,1.366060,1.367450,1.367450,0
2022-10-03,1.378730,1.380400,1.363430,1.378730,1.378730,0
2022-10-04,1.362810,1.366370,1.355240,1.362810,1.362810,0
2022-10-05,1.350540,1.369460,1.350430,1.350540,1.350540,0
2022-10-06,1.359780,1.375370,1.356420,1.359780,1.359780,0
2022-10-07,1.374100,1.375950,1.367720,1.374100,1.374100,0
2022-10-10,1.373210,1.377840,1.370380,1.373210,1.373210,0
2022-10-11,1.377500,1.385420,1.373640,1.377500,1.377500,0
2022-10-12,1.379150,1.382790,1.376380,1.379150,1.379150,0
2022-10-13,1.381570,1.396990,1.374410,1.381570,1.381570,0
2022-10-14,1.376010,1.388950,1.370300,1.376010,1.376010,0
2022-10-17,1.385500,1.385780,1.371050,1.385500,1.385500,0
2022-10-18,1.371290,1.380170,1.365710,1.371290,1.371290,0
2022-10-19,1.372620,1.380700,1.371900,1.372620,1.372620,0
2022-10-20,1.377280,1.380520,1.365140,1.377280,1.377280,0
2022-10-21,1.377730,1.385120,1.367270,1.377730,1.377730,0
2022-10-24,1.364620,1.377270,1.364920,1.364620,1.364620,0
2022-10-25,1.369520,1.374590,1.360490,1.369520,1.369520,0
2022-10-26,1.361670,1.364550,1.350900,1.361670,1.361670,0
2022-10-27,1.355200,1.362390,1.349670,1.355200,1.355200,0
2022-10-28,1.356450,1.363340,1.352520,1.356450,1.356450,0
2022-10-31,1.360810,1.368070,1.360080,1.360810,1.360810,0
2022-11-01,1.361070,1.365640,1.353030,1.361070,1.361070,0
2022-11-02,1.361800,1.364910,1.358500,1.361800,1.361800,0
2022-11-03,1.371520,1.380620,1.368270,1.371520,1.371520,0
2022-11-04,1.374240,1.374430,1.347180,1.374240,1.374240,0
2022-11-07,1.351250,1.355090,1.346570,1.351250,1.351250,0
2022-11-08,1.349350,1.352590,1.338770,1.349350,1.349350,0
2022-11-09,1.341540,1.349110,1.341410,1.341540,1.341540,0
2022-11-10,1.352650,1.356910,1.333510,1.352650,1.352650,0
2022-11-11,1.333150,1.335870,1.325710,1.333150,1.333150,0
2022-11-14,1.325600,1.330800,1.324000,1.325400,1.325400,0
2022-11-15,1.332470,1.333180,1.322770,1.332470,1.332470,0
2022-11-16,1.327350,1.334530,1.323000,1.327350,1.327350,0
2022-11-17,1.333550,1.339930,1.330560,1.333550,1.333550,0
2022-11-18,1.332140,1.339890,1.330130,1.332140,1.332140,0
2022-11-21,1.337690,1.349450,1.337660,1.337690,1.337690,0
2022-11-22,1.344630,1.344950,1.338500,1.344630,1.344630,0
2022-11-23,1.336250,1.343710,1.335660,1.336250,1.336250,0
2022-11-24,1.334360,1.336110,1.331640,1.334360,1.334360,0
2022-11-25,1.333660,1.339780,1.331600,1.333660,1.333660,0
2022-11-28,1.340960,1.347170,1.340000,1.340960,1.340960,0
2022-11-29,1.348990,1.363920,1.340970,1.348990,1.348990,0
2022-11-30,1.358360,1.358930,1.349230,1.358360,1.358360,0
2022-12-01,1.341200,1.346630,1.339460,1.341200,1.341200,0
2022-12-02,1.343550,1.351140,1.342000,1.343550,1.343550,0
2022-12-03,1.346800,1.346800,1.346500,1.346500,1.346500,0
